 Y   \   X || 0.0000E+00 | 
==========================
-.1000E+06 || 0.3249E+00 | 
-.9999E+05 || -.3492E-01 | 
-.9998E+05 || -.2126E+00 | 
-.9997E+05 || -.4040E+00 | 
-.9996E+05 || -.6249E+00 | 
-.9995E+05 || -.9004E+00 | 
-.9994E+05 || -.1280E+01 | 
-.9993E+05 || -.1881E+01 | 
-.9992E+05 || -.3078E+01 | 
-.9991E+05 || -.7115E+01 | 
-.9990E+05 || 0.2864E+02 | 
-.9989E+05 || 0.4705E+01 | 
-.9988E+05 || 0.2475E+01 | 
-.9987E+05 || 0.1600E+01 | 
-.9986E+05 || 0.1111E+01 | 
-.9985E+05 || 0.7813E+00 | 
-.9984E+05 || 0.5317E+00 | 
-.9983E+05 || 0.3249E+00 | 
-.9982E+05 || 0.1405E+00 | 
-.9981E+05 || -.3492E-01 | 
-.9980E+05 || -.2126E+00 | 
-.9979E+05 || -.4040E+00 | 
-.9978E+05 || -.6249E+00 | 
-.9977E+05 || -.9004E+00 | 
-.9976E+05 || -.1280E+01 | 
-.9975E+05 || -.1881E+01 | 
-.9974E+05 || -.3078E+01 | 
-.9973E+05 || -.7115E+01 | 
-.9972E+05 || 0.2864E+02 | 
-.9971E+05 || 0.4705E+01 | 
-.9970E+05 || 0.2475E+01 | 
-.9969E+05 || 0.1600E+01 | 
-.9968E+05 || 0.1111E+01 | 
-.9967E+05 || 0.7813E+00 | 
-.9966E+05 || 0.5317E+00 | 
-.9965E+05 || 0.3249E+00 | 
-.9964E+05 || 0.1405E+00 | 
-.9963E+05 || -.3492E-01 | 
-.9962E+05 || -.2126E+00 | 
-.9961E+05 || -.4040E+00 | 
-.9960E+05 || -.6249E+00 | 
-.9959E+05 || -.9004E+00 | 
-.9958E+05 || -.1280E+01 | 
-.9957E+05 || -.1881E+01 | 
-.9956E+05 || -.3078E+01 | 
-.9955E+05 || -.7115E+01 | 
-.9954E+05 || 0.2864E+02 | 
-.9953E+05 || 0.4705E+01 | 
-.9952E+05 || 0.2475E+01 | 
-.9951E+05 || 0.1600E+01 | 
-.9950E+05 || 0.1111E+01 | 
-.9949E+05 || 0.7813E+00 | 
-.9948E+05 || 0.5317E+00 | 
-.9947E+05 || 0.3249E+00 | 
-.9946E+05 || 0.1405E+00 | 
-.9945E+05 || -.3492E-01 | 
-.9944E+05 || -.2126E+00 | 
-.9943E+05 || -.4040E+00 | 
-.9942E+05 || -.6249E+00 | 
-.9941E+05 || -.9004E+00 | 
-.9940E+05 || -.1280E+01 | 
-.9939E+05 || -.1881E+01 | 
-.9938E+05 || -.3078E+01 | 
-.9937E+05 || -.7115E+01 | 
-.9936E+05 || 0.2864E+02 | 
